"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
33.0,"management","single","tertiary","no",-67.0,"yes","no","unknown",5.0,"may",364.0,1.0,-1.0,0.0,"unknown","no"
56.0,"technician","divorced","unknown","no",56.0,"yes","no","unknown",5.0,"may",439.0,1.0,-1.0,0.0,"unknown","no"
29.0,"admin.","single","secondary","no",818.0,"yes","yes","unknown",5.0,"may",61.0,1.0,-1.0,0.0,"unknown","no"
28.0,"unemployed","single","tertiary","no",0.0,"yes","no","unknown",5.0,"may",125.0,2.0,-1.0,0.0,"unknown","no"
23.0,"blue-collar","married","secondary","no",94.0,"yes","no","unknown",5.0,"may",193.0,1.0,-1.0,0.0,"unknown","no"
57.0,"unemployed","married","tertiary","no",42.0,"no","no","unknown",5.0,"may",46.0,1.0,-1.0,0.0,"unknown","no"
37.0,"blue-collar","married","secondary","no",37.0,"yes","no","unknown",5.0,"may",204.0,1.0,-1.0,0.0,"unknown","no"
33.0,"services","married","secondary","no",22.0,"yes","no","unknown",5.0,"may",71.0,1.0,-1.0,0.0,"unknown","no"
48.0,"blue-collar","married","secondary","no",904.0,"yes","no","unknown",5.0,"may",128.0,2.0,-1.0,0.0,"unknown","no"
26.0,"admin.","single","secondary","no",82.0,"yes","no","unknown",5.0,"may",228.0,1.0,-1.0,0.0,"unknown","no"
40.0,"services","divorced","unknown","no",4384.0,"yes","no","unknown",5.0,"may",315.0,1.0,-1.0,0.0,"unknown","no"
50.0,"technician","divorced","tertiary","no",173.0,"no","yes","unknown",5.0,"may",98.0,1.0,-1.0,0.0,"unknown","no"
43.0,"management","married","tertiary","no",400.0,"yes","no","unknown",5.0,"may",256.0,1.0,-1.0,0.0,"unknown","no"
41.0,"management","married","tertiary","no",517.0,"yes","no","unknown",5.0,"may",251.0,1.0,-1.0,0.0,"unknown","no"
40.0,"technician","married","tertiary","no",483.0,"yes","no","unknown",5.0,"may",168.0,1.0,-1.0,0.0,"unknown","no"
28.0,"blue-collar","married","primary","no",324.0,"yes","no","unknown",5.0,"may",175.0,1.0,-1.0,0.0,"unknown","no"
49.0,"blue-collar","divorced","primary","no",-9.0,"yes","yes","unknown",5.0,"may",389.0,1.0,-1.0,0.0,"unknown","no"
50.0,"management","single","tertiary","no",297.0,"yes","no","unknown",5.0,"may",119.0,1.0,-1.0,0.0,"unknown","no"
39.0,"blue-collar","married","primary","no",279.0,"yes","no","unknown",5.0,"may",361.0,1.0,-1.0,0.0,"unknown","no"
59.0,"entrepreneur","divorced","secondary","no",901.0,"yes","no","unknown",5.0,"may",73.0,3.0,-1.0,0.0,"unknown","no"
53.0,"blue-collar","married","secondary","no",70.0,"yes","no","unknown",5.0,"may",611.0,2.0,-1.0,0.0,"unknown","no"
41.0,"entrepreneur","married","primary","no",236.0,"yes","no","unknown",5.0,"may",151.0,1.0,-1.0,0.0,"unknown","no"
41.0,"blue-collar","married","primary","no",183.0,"yes","yes","unknown",5.0,"may",110.0,2.0,-1.0,0.0,"unknown","no"
59.0,"retired","married","secondary","no",319.0,"yes","no","unknown",5.0,"may",143.0,3.0,-1.0,0.0,"unknown","no"
49.0,"services","married","secondary","no",47.0,"no","no","unknown",5.0,"may",234.0,2.0,-1.0,0.0,"unknown","no"
33.0,"admin.","single","secondary","no",352.0,"yes","no","unknown",5.0,"may",225.0,2.0,-1.0,0.0,"unknown","no"
31.0,"blue-collar","single","secondary","no",3.0,"yes","no","unknown",5.0,"may",200.0,2.0,-1.0,0.0,"unknown","no"
54.0,"technician","married","unknown","no",851.0,"yes","no","unknown",5.0,"may",108.0,2.0,-1.0,0.0,"unknown","no"
48.0,"blue-collar","married","secondary","no",1.0,"no","no","unknown",5.0,"may",669.0,3.0,-1.0,0.0,"unknown","no"
32.0,"services","single","secondary","no",121.0,"yes","no","unknown",5.0,"may",213.0,2.0,-1.0,0.0,"unknown","no"
43.0,"management","divorced","secondary","no",693.0,"yes","no","unknown",5.0,"may",124.0,3.0,-1.0,0.0,"unknown","no"
36.0,"blue-collar","married","secondary","no",0.0,"yes","no","unknown",5.0,"may",195.0,2.0,-1.0,0.0,"unknown","no"
46.0,"admin.","single","tertiary","no",377.0,"yes","no","unknown",5.0,"may",98.0,2.0,-1.0,0.0,"unknown","no"
59.0,"admin.","married","secondary","no",230.0,"yes","no","unknown",6.0,"may",190.0,3.0,-1.0,0.0,"unknown","no"
43.0,"management","divorced","tertiary","no",1.0,"yes","no","unknown",6.0,"may",306.0,1.0,-1.0,0.0,"unknown","no"
25.0,"admin.","single","secondary","no",122.0,"yes","no","unknown",6.0,"may",286.0,1.0,-1.0,0.0,"unknown","no"
49.0,"services","married","secondary","no",245.0,"yes","yes","unknown",6.0,"may",318.0,1.0,-1.0,0.0,"unknown","no"
38.0,"blue-collar","married","secondary","no",20.0,"yes","no","unknown",6.0,"may",402.0,1.0,-1.0,0.0,"unknown","no"
58.0,"services","married","secondary","no",1667.0,"yes","yes","unknown",6.0,"may",85.0,1.0,-1.0,0.0,"unknown","no"
32.0,"technician","single","secondary","no",0.0,"yes","yes","unknown",6.0,"may",135.0,3.0,-1.0,0.0,"unknown","no"
38.0,"technician","married","secondary","no",284.0,"yes","no","unknown",6.0,"may",483.0,1.0,-1.0,0.0,"unknown","no"
43.0,"unemployed","married","secondary","no",0.0,"yes","no","unknown",6.0,"may",245.0,1.0,-1.0,0.0,"unknown","no"
49.0,"management","single","tertiary","no",163.0,"yes","no","unknown",6.0,"may",496.0,3.0,-1.0,0.0,"unknown","no"
40.0,"blue-collar","married","secondary","no",217.0,"yes","no","unknown",6.0,"may",195.0,1.0,-1.0,0.0,"unknown","no"
34.0,"technician","single","tertiary","no",242.0,"yes","no","unknown",6.0,"may",112.0,1.0,-1.0,0.0,"unknown","no"
32.0,"services","single","secondary","no",310.0,"yes","no","unknown",6.0,"may",144.0,1.0,-1.0,0.0,"unknown","no"
40.0,"services","married","secondary","no",71.0,"no","no","unknown",6.0,"may",79.0,1.0,-1.0,0.0,"unknown","no"
40.0,"admin.","single","secondary","no",-109.0,"yes","yes","unknown",6.0,"may",170.0,1.0,-1.0,0.0,"unknown","no"
41.0,"technician","married","secondary","no",767.0,"yes","yes","unknown",6.0,"may",204.0,1.0,-1.0,0.0,"unknown","no"
50.0,"blue-collar","divorced","secondary","no",41.0,"yes","no","unknown",6.0,"may",190.0,1.0,-1.0,0.0,"unknown","no"
37.0,"management","single","tertiary","no",230.0,"yes","yes","unknown",6.0,"may",374.0,1.0,-1.0,0.0,"unknown","no"
26.0,"admin.","single","secondary","no",712.0,"yes","no","unknown",6.0,"may",232.0,1.0,-1.0,0.0,"unknown","no"
50.0,"technician","married","primary","no",249.0,"yes","no","unknown",6.0,"may",129.0,1.0,-1.0,0.0,"unknown","no"
56.0,"services","married","secondary","no",473.0,"yes","no","unknown",6.0,"may",416.0,1.0,-1.0,0.0,"unknown","no"
30.0,"admin.","married","secondary","no",46.0,"yes","no","unknown",6.0,"may",114.0,2.0,-1.0,0.0,"unknown","no"
39.0,"blue-collar","divorced","unknown","no",170.0,"yes","no","unknown",6.0,"may",268.0,2.0,-1.0,0.0,"unknown","no"
52.0,"blue-collar","married","secondary","no",3165.0,"no","no","unknown",6.0,"may",26.0,1.0,-1.0,0.0,"unknown","no"
35.0,"blue-collar","married","primary","no",0.0,"yes","no","unknown",6.0,"may",154.0,2.0,-1.0,0.0,"unknown","no"
31.0,"self-employed","married","secondary","no",0.0,"yes","no","unknown",6.0,"may",36.0,5.0,-1.0,0.0,"unknown","no"
47.0,"technician","married","unknown","no",2106.0,"yes","no","unknown",6.0,"may",168.0,1.0,-1.0,0.0,"unknown","no"
34.0,"admin.","single","unknown","no",2434.0,"yes","no","unknown",6.0,"may",218.0,4.0,-1.0,0.0,"unknown","no"
30.0,"unemployed","divorced","secondary","no",1144.0,"yes","no","unknown",6.0,"may",252.0,1.0,-1.0,0.0,"unknown","no"
44.0,"services","divorced","secondary","no",1.0,"yes","no","unknown",6.0,"may",235.0,4.0,-1.0,0.0,"unknown","no"
33.0,"blue-collar","married","primary","no",332.0,"yes","no","unknown",6.0,"may",116.0,2.0,-1.0,0.0,"unknown","no"
37.0,"blue-collar","single","secondary","no",240.0,"yes","no","unknown",6.0,"may",246.0,1.0,-1.0,0.0,"unknown","no"
42.0,"technician","single","secondary","no",0.0,"yes","no","unknown",6.0,"may",293.0,1.0,-1.0,0.0,"unknown","no"
41.0,"services","married","unknown","no",4.0,"no","no","unknown",6.0,"may",284.0,2.0,-1.0,0.0,"unknown","no"
33.0,"admin.","single","secondary","no",101.0,"yes","no","unknown",6.0,"may",392.0,1.0,-1.0,0.0,"unknown","no"
35.0,"admin.","single","secondary","no",148.0,"yes","no","unknown",6.0,"may",128.0,2.0,-1.0,0.0,"unknown","no"
38.0,"management","married","tertiary","no",389.0,"yes","no","unknown",6.0,"may",262.0,1.0,-1.0,0.0,"unknown","no"
40.0,"services","divorced","secondary","no",105.0,"yes","no","unknown",6.0,"may",189.0,2.0,-1.0,0.0,"unknown","no"
40.0,"management","single","tertiary","no",242.0,"yes","no","unknown",6.0,"may",221.0,2.0,-1.0,0.0,"unknown","no"
49.0,"management","married","tertiary","no",92.0,"yes","no","unknown",6.0,"may",221.0,2.0,-1.0,0.0,"unknown","no"
33.0,"admin.","married","secondary","no",21.0,"no","no","unknown",6.0,"may",189.0,3.0,-1.0,0.0,"unknown","no"
31.0,"admin.","married","secondary","no",0.0,"yes","yes","unknown",6.0,"may",144.0,2.0,-1.0,0.0,"unknown","no"
56.0,"retired","divorced","primary","no",4.0,"yes","no","unknown",6.0,"may",31.0,3.0,-1.0,0.0,"unknown","no"
60.0,"retired","married","primary","no",364.0,"yes","no","unknown",6.0,"may",631.0,2.0,-1.0,0.0,"unknown","no"
49.0,"blue-collar","married","primary","no",198.0,"yes","no","unknown",6.0,"may",200.0,2.0,-1.0,0.0,"unknown","no"
55.0,"technician","married","secondary","no",0.0,"no","no","unknown",6.0,"may",160.0,3.0,-1.0,0.0,"unknown","no"
30.0,"self-employed","single","tertiary","no",800.0,"no","no","unknown",6.0,"may",95.0,2.0,-1.0,0.0,"unknown","no"
45.0,"management","married","tertiary","no",103.0,"yes","no","unknown",7.0,"may",35.0,4.0,-1.0,0.0,"unknown","no"
32.0,"technician","divorced","secondary","no",210.0,"yes","yes","unknown",7.0,"may",188.0,2.0,-1.0,0.0,"unknown","no"
29.0,"student","single","tertiary","no",185.0,"yes","no","unknown",7.0,"may",141.0,3.0,-1.0,0.0,"unknown","no"
46.0,"self-employed","married","tertiary","no",2303.0,"yes","no","unknown",7.0,"may",241.0,1.0,-1.0,0.0,"unknown","no"
55.0,"retired","married","secondary","no",102.0,"yes","no","unknown",7.0,"may",74.0,1.0,-1.0,0.0,"unknown","no"
44.0,"technician","divorced","secondary","no",-329.0,"yes","no","unknown",7.0,"may",171.0,1.0,-1.0,0.0,"unknown","no"
37.0,"services","single","secondary","no",-196.0,"yes","no","unknown",7.0,"may",207.0,1.0,-1.0,0.0,"unknown","no"
40.0,"blue-collar","married","secondary","no",563.0,"yes","no","unknown",7.0,"may",615.0,1.0,-1.0,0.0,"unknown","no"
33.0,"services","divorced","secondary","no",327.0,"yes","no","unknown",7.0,"may",109.0,1.0,-1.0,0.0,"unknown","no"
37.0,"management","single","tertiary","yes",45.0,"yes","no","unknown",7.0,"may",204.0,1.0,-1.0,0.0,"unknown","no"
40.0,"blue-collar","married","secondary","no",306.0,"yes","no","unknown",7.0,"may",184.0,2.0,-1.0,0.0,"unknown","no"
29.0,"entrepreneur","married","primary","no",56.0,"yes","yes","unknown",7.0,"may",336.0,1.0,-1.0,0.0,"unknown","no"
43.0,"self-employed","married","primary","no",66.0,"yes","no","unknown",7.0,"may",175.0,5.0,-1.0,0.0,"unknown","no"
51.0,"blue-collar","married","unknown","no",37.0,"yes","no","unknown",7.0,"may",256.0,6.0,-1.0,0.0,"unknown","no"
32.0,"admin.","single","secondary","no",64.0,"yes","no","unknown",7.0,"may",202.0,2.0,-1.0,0.0,"unknown","no"
37.0,"self-employed","married","tertiary","no",444.0,"yes","no","unknown",7.0,"may",401.0,2.0,-1.0,0.0,"unknown","no"
27.0,"management","single","tertiary","no",134.0,"yes","yes","unknown",7.0,"may",68.0,3.0,-1.0,0.0,"unknown","no"
47.0,"blue-collar","married","secondary","yes",-5.0,"yes","no","unknown",7.0,"may",444.0,1.0,-1.0,0.0,"unknown","no"
33.0,"admin.","married","secondary","no",-6.0,"yes","no","unknown",7.0,"may",566.0,2.0,-1.0,0.0,"unknown","no"
49.0,"services","married","secondary","no",1496.0,"yes","no","unknown",7.0,"may",218.0,4.0,-1.0,0.0,"unknown","no"
29.0,"services","single","secondary","no",703.0,"yes","no","unknown",7.0,"may",129.0,5.0,-1.0,0.0,"unknown","no"
58.0,"retired","married","secondary","no",268.0,"yes","no","unknown",7.0,"may",516.0,1.0,-1.0,0.0,"unknown","no"
46.0,"admin.","divorced","secondary","no",207.0,"yes","no","unknown",7.0,"may",485.0,4.0,-1.0,0.0,"unknown","no"
40.0,"unemployed","single","secondary","no",350.0,"yes","no","unknown",7.0,"may",287.0,1.0,-1.0,0.0,"unknown","no"
36.0,"admin.","single","primary","no",91.0,"yes","no","unknown",7.0,"may",371.0,2.0,-1.0,0.0,"unknown","no"
49.0,"services","married","secondary","no",1377.0,"yes","no","unknown",7.0,"may",1101.0,1.0,-1.0,0.0,"unknown","no"
48.0,"technician","married","secondary","no",-500.0,"yes","no","unknown",7.0,"may",78.0,5.0,-1.0,0.0,"unknown","no"
37.0,"technician","married","tertiary","no",16.0,"yes","yes","unknown",7.0,"may",153.0,3.0,-1.0,0.0,"unknown","no"
52.0,"blue-collar","divorced","primary","no",196.0,"yes","no","unknown",7.0,"may",119.0,3.0,-1.0,0.0,"unknown","no"
42.0,"admin.","divorced","secondary","no",0.0,"yes","no","unknown",7.0,"may",229.0,2.0,-1.0,0.0,"unknown","no"
30.0,"technician","single","tertiary","no",60.0,"yes","yes","unknown",7.0,"may",306.0,5.0,-1.0,0.0,"unknown","no"
51.0,"management","married","primary","no",98.0,"yes","no","unknown",7.0,"may",114.0,2.0,-1.0,0.0,"unknown","no"
45.0,"technician","married","secondary","no",118.0,"yes","no","unknown",7.0,"may",208.0,2.0,-1.0,0.0,"unknown","no"
43.0,"blue-collar","married","secondary","no",667.0,"yes","no","unknown",7.0,"may",228.0,3.0,-1.0,0.0,"unknown","no"
41.0,"management","married","tertiary","no",72.0,"yes","no","unknown",7.0,"may",764.0,3.0,-1.0,0.0,"unknown","no"
59.0,"blue-collar","married","primary","no",10.0,"yes","no","unknown",7.0,"may",133.0,3.0,-1.0,0.0,"unknown","no"
31.0,"admin.","married","secondary","no",89.0,"no","no","unknown",7.0,"may",297.0,3.0,-1.0,0.0,"unknown","no"
49.0,"services","single","primary","no",114.0,"yes","no","unknown",7.0,"may",99.0,2.0,-1.0,0.0,"unknown","no"
43.0,"technician","married","tertiary","no",743.0,"yes","no","unknown",7.0,"may",134.0,2.0,-1.0,0.0,"unknown","no"
37.0,"self-employed","married","primary","no",0.0,"no","no","unknown",7.0,"may",112.0,4.0,-1.0,0.0,"unknown","no"
46.0,"admin.","married","primary","no",40.0,"yes","no","unknown",7.0,"may",591.0,3.0,-1.0,0.0,"unknown","no"
44.0,"blue-collar","single","secondary","no",-212.0,"yes","yes","unknown",7.0,"may",103.0,4.0,-1.0,0.0,"unknown","no"
52.0,"technician","married","unknown","no",133.0,"yes","no","unknown",7.0,"may",253.0,8.0,-1.0,0.0,"unknown","no"
43.0,"admin.","married","tertiary","no",1924.0,"yes","no","unknown",7.0,"may",244.0,7.0,-1.0,0.0,"unknown","no"
56.0,"services","married","primary","no",219.0,"yes","no","unknown",7.0,"may",130.0,4.0,-1.0,0.0,"unknown","no"
36.0,"blue-collar","married","primary","no",-79.0,"no","no","unknown",7.0,"may",159.0,3.0,-1.0,0.0,"unknown","no"
29.0,"services","married","primary","no",321.0,"yes","no","unknown",7.0,"may",196.0,2.0,-1.0,0.0,"unknown","no"
44.0,"blue-collar","married","secondary","no",1.0,"yes","no","unknown",7.0,"may",281.0,2.0,-1.0,0.0,"unknown","no"
29.0,"technician","single","secondary","no",247.0,"yes","no","unknown",8.0,"may",134.0,1.0,-1.0,0.0,"unknown","no"
52.0,"blue-collar","married","secondary","no",46.0,"yes","no","unknown",8.0,"may",132.0,1.0,-1.0,0.0,"unknown","no"
33.0,"blue-collar","divorced","primary","no",176.0,"yes","no","unknown",8.0,"may",622.0,1.0,-1.0,0.0,"unknown","no"
51.0,"management","married","primary","yes",57.0,"yes","yes","unknown",8.0,"may",61.0,1.0,-1.0,0.0,"unknown","no"
26.0,"technician","single","secondary","no",2087.0,"no","no","unknown",8.0,"may",151.0,1.0,-1.0,0.0,"unknown","no"
32.0,"blue-collar","single","secondary","no",5.0,"yes","yes","unknown",8.0,"may",134.0,1.0,-1.0,0.0,"unknown","no"
27.0,"student","single","secondary","no",81.0,"yes","no","unknown",8.0,"may",238.0,1.0,-1.0,0.0,"unknown","no"
53.0,"unemployed","married","secondary","no",582.0,"yes","no","unknown",8.0,"may",96.0,2.0,-1.0,0.0,"unknown","no"
37.0,"blue-collar","single","secondary","no",134.0,"yes","no","unknown",8.0,"may",200.0,1.0,-1.0,0.0,"unknown","no"
55.0,"technician","married","unknown","no",84.0,"yes","no","unknown",8.0,"may",166.0,1.0,-1.0,0.0,"unknown","no"
41.0,"technician","married","unknown","no",254.0,"yes","no","unknown",8.0,"may",690.0,1.0,-1.0,0.0,"unknown","no"
34.0,"blue-collar","single","primary","no",0.0,"yes","no","unknown",8.0,"may",323.0,1.0,-1.0,0.0,"unknown","no"
49.0,"management","married","secondary","no",104.0,"yes","no","unknown",8.0,"may",285.0,1.0,-1.0,0.0,"unknown","no"
26.0,"blue-collar","single","primary","no",318.0,"yes","no","unknown",8.0,"may",101.0,1.0,-1.0,0.0,"unknown","no"
41.0,"management","married","tertiary","no",1773.0,"no","no","unknown",8.0,"may",106.0,1.0,-1.0,0.0,"unknown","no"
38.0,"services","married","secondary","no",507.0,"yes","no","unknown",8.0,"may",95.0,1.0,-1.0,0.0,"unknown","no"
60.0,"retired","married","primary","no",-2.0,"yes","no","unknown",8.0,"may",75.0,1.0,-1.0,0.0,"unknown","no"
36.0,"admin.","married","secondary","no",114.0,"yes","yes","unknown",8.0,"may",147.0,1.0,-1.0,0.0,"unknown","no"
48.0,"blue-collar","married","primary","no",4.0,"yes","no","unknown",8.0,"may",198.0,1.0,-1.0,0.0,"unknown","no"
36.0,"entrepreneur","married","unknown","no",298.0,"yes","no","unknown",8.0,"may",215.0,1.0,-1.0,0.0,"unknown","no"
38.0,"blue-collar","married","secondary","no",4586.0,"yes","no","unknown",8.0,"may",784.0,1.0,-1.0,0.0,"unknown","no"
26.0,"student","single","secondary","no",85.0,"yes","no","unknown",8.0,"may",278.0,2.0,-1.0,0.0,"unknown","no"
36.0,"technician","single","secondary","no",1832.0,"yes","no","unknown",8.0,"may",154.0,1.0,-1.0,0.0,"unknown","no"
40.0,"management","married","tertiary","no",121.0,"no","no","unknown",8.0,"may",82.0,1.0,-1.0,0.0,"unknown","no"
34.0,"technician","married","secondary","no",65.0,"yes","no","unknown",8.0,"may",63.0,3.0,-1.0,0.0,"unknown","no"
35.0,"blue-collar","divorced","secondary","no",0.0,"yes","no","unknown",8.0,"may",477.0,1.0,-1.0,0.0,"unknown","no"
50.0,"services","divorced","secondary","no",145.0,"yes","no","unknown",8.0,"may",170.0,1.0,-1.0,0.0,"unknown","no"
46.0,"blue-collar","married","primary","no",174.0,"yes","yes","unknown",8.0,"may",108.0,3.0,-1.0,0.0,"unknown","no"
33.0,"entrepreneur","married","secondary","no",0.0,"yes","yes","unknown",8.0,"may",982.0,1.0,-1.0,0.0,"unknown","no"
51.0,"blue-collar","married","primary","no",0.0,"no","no","unknown",8.0,"may",384.0,1.0,-1.0,0.0,"unknown","no"
28.0,"management","single","tertiary","no",21.0,"yes","no","unknown",8.0,"may",219.0,3.0,-1.0,0.0,"unknown","no"
28.0,"blue-collar","married","primary","no",113.0,"yes","no","unknown",8.0,"may",534.0,2.0,-1.0,0.0,"unknown","no"
39.0,"services","single","secondary","no",-244.0,"yes","no","unknown",8.0,"may",152.0,2.0,-1.0,0.0,"unknown","no"
40.0,"management","single","tertiary","no",-275.0,"yes","no","unknown",8.0,"may",219.0,2.0,-1.0,0.0,"unknown","no"
25.0,"entrepreneur","married","tertiary","no",37.0,"yes","yes","unknown",8.0,"may",453.0,2.0,-1.0,0.0,"unknown","no"
46.0,"blue-collar","married","secondary","no",125.0,"yes","yes","unknown",8.0,"may",119.0,2.0,-1.0,0.0,"unknown","no"
26.0,"blue-collar","single","secondary","no",-132.0,"no","no","unknown",8.0,"may",12.0,1.0,-1.0,0.0,"unknown","no"
58.0,"self-employed","divorced","secondary","no",613.0,"yes","no","unknown",8.0,"may",154.0,2.0,-1.0,0.0,"unknown","no"
57.0,"entrepreneur","married","unknown","no",618.0,"yes","no","unknown",8.0,"may",10.0,7.0,-1.0,0.0,"unknown","no"
55.0,"entrepreneur","married","primary","no",298.0,"yes","no","unknown",8.0,"may",144.0,3.0,-1.0,0.0,"unknown","no"
49.0,"blue-collar","single","primary","no",1164.0,"yes","no","unknown",8.0,"may",72.0,1.0,-1.0,0.0,"unknown","no"
34.0,"management","married","secondary","no",487.0,"yes","no","unknown",8.0,"may",442.0,2.0,-1.0,0.0,"unknown","no"
33.0,"blue-collar","married","secondary","no",527.0,"yes","yes","unknown",8.0,"may",81.0,2.0,-1.0,0.0,"unknown","no"
60.0,"blue-collar","divorced","primary","no",7601.0,"yes","no","unknown",8.0,"may",285.0,1.0,-1.0,0.0,"unknown","no"
51.0,"management","married","tertiary","no",751.0,"no","no","unknown",8.0,"may",261.0,5.0,-1.0,0.0,"unknown","no"
32.0,"admin.","single","secondary","no",184.0,"yes","no","unknown",8.0,"may",230.0,4.0,-1.0,0.0,"unknown","no"
30.0,"services","married","secondary","no",80.0,"yes","no","unknown",8.0,"may",185.0,2.0,-1.0,0.0,"unknown","no"
37.0,"blue-collar","divorced","secondary","no",48.0,"yes","no","unknown",8.0,"may",133.0,2.0,-1.0,0.0,"unknown","no"
32.0,"unemployed","single","tertiary","no",336.0,"yes","no","unknown",8.0,"may",139.0,1.0,-1.0,0.0,"unknown","no"
31.0,"blue-collar","married","secondary","no",186.0,"yes","no","unknown",8.0,"may",257.0,3.0,-1.0,0.0,"unknown","no"
50.0,"management","divorced","tertiary","no",704.0,"yes","no","unknown",8.0,"may",233.0,2.0,-1.0,0.0,"unknown","no"
39.0,"blue-collar","married","primary","no",830.0,"yes","no","unknown",8.0,"may",246.0,2.0,-1.0,0.0,"unknown","no"
34.0,"services","married","secondary","no",-315.0,"yes","no","unknown",8.0,"may",56.0,2.0,-1.0,0.0,"unknown","no"
33.0,"blue-collar","single","secondary","no",56.0,"yes","no","unknown",8.0,"may",112.0,2.0,-1.0,0.0,"unknown","no"
41.0,"blue-collar","married","secondary","no",213.0,"yes","no","unknown",8.0,"may",10.0,2.0,-1.0,0.0,"unknown","no"
34.0,"blue-collar","married","secondary","no",67.0,"yes","yes","unknown",8.0,"may",672.0,3.0,-1.0,0.0,"unknown","no"
50.0,"technician","single","tertiary","no",0.0,"yes","no","unknown",8.0,"may",393.0,2.0,-1.0,0.0,"unknown","no"
34.0,"management","married","tertiary","no",336.0,"yes","yes","unknown",8.0,"may",84.0,2.0,-1.0,0.0,"unknown","no"
33.0,"unemployed","single","secondary","no",177.0,"no","no","unknown",8.0,"may",75.0,4.0,-1.0,0.0,"unknown","no"
52.0,"blue-collar","married","secondary","no",557.0,"no","no","unknown",8.0,"may",111.0,3.0,-1.0,0.0,"unknown","no"
43.0,"management","divorced","tertiary","no",0.0,"yes","no","unknown",8.0,"may",123.0,2.0,-1.0,0.0,"unknown","no"
39.0,"management","married","tertiary","no",429.0,"yes","no","unknown",8.0,"may",272.0,4.0,-1.0,0.0,"unknown","no"
41.0,"management","married","primary","no",-417.0,"yes","no","unknown",8.0,"may",51.0,3.0,-1.0,0.0,"unknown","no"
35.0,"management","married","tertiary","yes",89.0,"no","yes","unknown",8.0,"may",166.0,3.0,-1.0,0.0,"unknown","no"
29.0,"blue-collar","single","secondary","no",-138.0,"yes","yes","unknown",8.0,"may",271.0,5.0,-1.0,0.0,"unknown","no"
35.0,"management","married","tertiary","no",820.0,"yes","no","unknown",8.0,"may",287.0,4.0,-1.0,0.0,"unknown","no"
33.0,"services","married","secondary","no",310.0,"yes","no","unknown",8.0,"may",172.0,4.0,-1.0,0.0,"unknown","no"
35.0,"management","married","tertiary","no",14.0,"yes","yes","unknown",8.0,"may",64.0,1.0,-1.0,0.0,"unknown","no"
51.0,"blue-collar","single","primary","no",368.0,"yes","no","unknown",9.0,"may",205.0,1.0,-1.0,0.0,"unknown","no"
33.0,"blue-collar","divorced","primary","no",60.0,"no","no","unknown",9.0,"may",131.0,1.0,-1.0,0.0,"unknown","no"
43.0,"blue-collar","divorced","primary","no",49.0,"yes","no","unknown",9.0,"may",100.0,1.0,-1.0,0.0,"unknown","no"
32.0,"services","married","secondary","no",2068.0,"yes","yes","unknown",9.0,"may",143.0,1.0,-1.0,0.0,"unknown","no"
46.0,"technician","divorced","tertiary","no",288.0,"yes","no","unknown",9.0,"may",166.0,1.0,-1.0,0.0,"unknown","no"
